INSTNM,CITY,INSTURL,st_fips,LATITUDE,LONGITUDE,MENONLY,WOMENONLY,RELAFFIL,ADM_RATE
Regency Beauty Institute-Little Rock,Little Rock,www.regency.edu,5,34.731,-92.395,0,0,NULL,NULL
Regency Beauty Institute-Baltimore Golden Ring,Baltimore,www.regency.edu,24,39.3359,-76.4834,0,0,NULL,NULL
Regency Beauty Institute-El Paso,El Paso,www.regency.edu,48,31.761,-106.3549,0,0,NULL,NULL
Regency Beauty Institute-Jacksonville Regency,Jacksonville,www.regency.edu,12,30.3222,-81.5579,0,0,NULL,NULL
Regency Beauty Institute-Knoxville,Knoxville,www.regency.edu,47,35.9243,-84.0551,0,0,NULL,NULL
Regency Beauty Institute-Fayetteville,Fayetteville,www.regency.edu,5,36.1262,-94.1556,0,0,NULL,NULL
Regency Beauty Institute-Lansing,Lansing,www.regency.edu,26,42.7383,-84.5714,0,0,NULL,NULL
Regency Beauty Institute-Jacksonville Orange Park,Orange Park,www.regency.edu,12,30.1884,-81.7395,0,0,NULL,NULL
Regency Beauty Institute-Crystal Lake,Crystal Lake,www.regency.edu,17,42.2261,-88.3076,0,0,NULL,NULL
Regency Beauty Institute-Manassas,Manassas,www.regency.edu,51,38.7843,-77.5181,0,0,NULL,NULL
Regency Beauty Institute-Castleton,Indianapolis,www.regency.edu,18,39.9051,-86.0653,0,0,NULL,NULL
Regency Beauty Institute-North Nashville,Madison,www.regency.edu,47,36.3077,-86.6839,0,0,NULL,NULL
Regency Beauty Institute-Round Rock,Round Rock,www.regency.edu,48,30.4804,-97.6852,0,0,NULL,NULL
Regency Beauty Institute-Merrillville,Merrillville,www.regency.edu,18,41.48,-87.3299,0,0,NULL,NULL
Regency Beauty Institute-Roanoke,Roanoke,www.regency.edu,51,37.317,-79.9555,0,0,NULL,NULL
Regency Beauty Institute-Toledo,Holland,www.regency.edu,39,41.6166,-83.6977,0,0,NULL,NULL
Regency Beauty Institute-SW Houston,Houston,www.regency.edu,48,29.6896,-95.5331,0,0,NULL,NULL
Everest College-Atlanta West,Atlanta,www.everest.edu/campus/atlanta_west,13,33.6904,-84.4891,0,0,NULL,NULL
Broadview University-Boise,Meridian,broadviewuniversity.edu,16,43.5893,-116.361,0,0,NULL,NULL
Advanced Institute of Hair Design-Madison,Madison,www.vicibeautyschool.com,55,43.0726,-89.3989,0,0,NULL,NULL
Paul Mitchell The School-Columbia,Columbia,columbia.paulmitchell.edu,45,33.9987,-81.0415,0,0,NULL,NULL
Paul Mitchell The School-Charleston,North Charleston,charleston.paulmitchell.edu,45,32.8738,-80.0209,0,0,NULL,NULL
Everest College-Melrose Park,Melrose Park,www.everest.edu/campus/melrose_park,17,41.9082,-87.8468,0,0,NULL,NULL
Kenneth Shuler School of Cosmetology-Greenville,Greenville,kennethshuler.com,45,34.7891,-82.4834,0,0,NULL,NULL
South University-Accelerated Graduate Programs,Atlanta,www.southuniversity.edu/savannah/business-administration-degree-amba-215312.aspx,13,33.9367,-84.3536,0,0,NULL,NULL
South University-The Art Institute of Fort Worth,Fort Worth,www.artinstitutes.edu/fort-worth/,48,32.7341,-97.4384,0,0,NULL,NULL
South University-Novi,Novi,southuniversity.edu,26,42.496,-83.4575,0,0,NULL,0.3333
Northwest College-Eugene,Eugene,www.nwcollege.edu,41,44.0939,-123.0971,0,0,NULL,NULL
Northwest College-Tualatin,Tualatin,www.nwcollege.edu,41,45.3827,-122.7621,0,0,NULL,NULL
Harrison College-Morrisville,Morrisville,harrison.edu,37,35.8594,-78.8399,0,0,NULL,1
Trend Setters' Academy of Beauty Culture-Louisville,Louisville,www.trendsettersabc.com,21,38.1346,-85.6846,0,0,NULL,NULL
National University College-Caguas,Caguas,www.nuc.edu,72,18.2122,-66.0506,0,0,NULL,0.8427
Beauty Schools of America,Miami Beach,www.bsa.edu,12,25.7745,-80.1385,0,0,NULL,NULL
CET-Soledad,Soledad,cetweb.org/index.php,6,36.415,-121.3178,0,0,NULL,NULL
MarJon School of Beauty ltd-Lockport,Lockport,www.marjonbeauty.com/,36,43.1707,-78.689,0,0,NULL,NULL
Houston Training Schools-Southwest,Houston,houstontrainingschools.net,48,29.7081,-95.5083,0,0,NULL,NULL
Vanguard College of Cosmetology-Metairie,Metairie,vanguard.paulmitchell.edu,22,30.0048,-90.1635,0,0,NULL,NULL
New England Tractor Trailer Training School of Massachusetts,North Andover,www.nettts.com,25,42.7306,-71.1129,0,0,NULL,NULL
Heritage College-Columbus,Columbus,www.heritage-education.com,39,39.9822,-82.8433,0,0,NULL,NULL
Utah College of Massage Therapy-Vegas,Las Vegas,www.steinered.com/,32,36.0422,-115.1191,0,0,NULL,NULL
Utah College of Massage Therapy-Tempe,Tempe,www.steinered.com/,4,33.3928,-111.961,0,0,NULL,NULL
